var,unit,MAE,RMSE,bias,median_abs_err,R2,corr,NRMSE_pct,accuracy_10pct,accuracy_20pct,rel_mae_pct
u,m/s,2.190882682800293,3.9798078536987305,-0.06905890256166458,0.5494545698165894,-0.00032591819763183594,-0.003289272327555107,10.897829151637032,65.78870820939638,77.66601296763722,12.8875451929429
v,m/s,10.298253059387207,12.066844940185547,-9.487643241882324,9.860818862915039,-1.5764925479888916,0.3251268409324743,28.279785848802316,9.058110403197809,17.094386007713023,60.577959172865924
w,m/s,1.279464840888977,2.2439799308776855,-0.24873201549053192,0.5130987167358398,-0.0005335807800292969,0.3413831558855028,6.700001662910501,73.84609610314057,88.99908982575325,7.526263769935159
|V|,m/s,11.161017417907715,12.807842254638672,-11.04882526397705,10.405803680419922,-4.288122177124023,0.2118260562054946,44.54199538646942,3.7626791025869593,10.930066714833963,65.65304363475127
P,Pa,20.400774002075195,36.34305953979492,3.229959487915039,5.678086280822754,0.7842375040054321,0.8973102337663915,6.69447412859756,68.01159768421645,80.09627203888414,11.525047102365761
