epoch,lr,loss_total,loss_data,loss_data_cyl,loss_data_bc,loss_data_boi_c,loss_data_boi_t,loss_data_free,loss_cont,loss_mom_u,loss_mom_v,loss_mom_w,loss_phys_sum,loss_val,gnorm,elapsed_s
1,2.9999999242136255e-05,648.9288330078125,8.837423324584961,5.439378261566162,0.3778231143951416,3.165189743041992,0.576090395450592,0.20164865255355835,24.347820281982422,0.011489843018352985,5.915234565734863,0.03485243022441864,30.309397120960057,0.4485379429056187,231.7881622314453,79.47957730293274
2,2.9999999242136255e-05,616.0863647460938,8.408366203308105,5.258786201477051,0.3377554714679718,3.040173053741455,0.543567419052124,0.16875654458999634,21.91665267944336,0.006037573330104351,5.564464092254639,0.013520145788788795,27.50067449081689,0.4485379429056187,271.854736328125,118.5752763748169
3,2.9999999242136255e-05,596.69580078125,8.14094066619873,5.142026424407959,0.3197689354419708,2.9366347789764404,0.5391632318496704,0.15530914068222046,21.498353958129883,0.013110404834151268,5.28614616394043,0.03227202221751213,26.829882549121976,0.4485379429056187,352.9482727050781,157.51033234596252
4,2.9999999242136255e-05,571.8142700195312,7.806270599365234,4.994082450866699,0.3048211336135864,2.804325580596924,0.5188500881195068,0.14382661879062653,20.031190872192383,0.02917405217885971,5.25816535949707,0.05699419602751732,25.37552447989583,0.4485379429056187,319.8628845214844,196.68459749221802
5,2.9999999242136255e-05,507.3570251464844,6.9389543533325195,4.577920436859131,0.28654947876930237,2.4183623790740967,0.4687774181365967,0.13679933547973633,16.43798065185547,0.13979092240333557,4.9953789710998535,0.05695869028568268,21.63010923564434,0.4485379429056187,312.3228454589844,235.78340101242065
6,2.9999999242136255e-05,381.2295227050781,5.206757068634033,3.4815964698791504,0.26734286546707153,1.6511310338974,0.4164995551109314,0.146364226937294,11.713647842407227,0.2526220381259918,4.751348972320557,0.038874976336956024,16.75649382919073,0.4485379429056187,341.58331298828125,274.853467464447
7,2.9999999242136255e-05,298.98486328125,4.078084945678711,2.7892000675201416,0.21780355274677277,1.2368754148483276,0.38187289237976074,0.11246603727340698,9.164802551269531,0.19704928994178772,4.118685722351074,0.038373734802007675,13.5189112983644,0.4485379429056187,329.5663757324219,314.0869767665863
8,2.9999999242136255e-05,254.2431182861328,3.4647598266601562,2.3457353115081787,0.2006913423538208,1.0193970203399658,0.37500888109207153,0.095814049243927,7.5155253410339355,0.1725122630596161,3.977862596511841,0.043976083397865295,11.709876284003258,0.4485379429056187,331.3548583984375,353.2294282913208
9,2.9999999242136255e-05,231.95835876464844,3.1555488109588623,2.1212751865386963,0.19228392839431763,0.9204730987548828,0.36822736263275146,0.08327721804380417,6.822025775909424,0.16221177577972412,4.039319038391113,0.04645826295018196,11.070014853030443,0.4485379429056187,336.3303527832031,392.4024968147278
10,2.9999999242136255e-05,217.77337646484375,2.9614570140838623,1.9981235265731812,0.18306928873062134,0.8556237816810608,0.3632878065109253,0.07471231371164322,6.284473896026611,0.15371842682361603,3.984452247619629,0.04881473630666733,10.471459306776524,0.4485379429056187,360.09375,431.60892844200134
11,2.9999999242136255e-05,206.61785888671875,2.808924913406372,1.9069268703460693,0.17564097046852112,0.8017023205757141,0.3580383360385895,0.06901630759239197,5.882709980010986,0.14258423447608948,3.9143099784851074,0.053540945053100586,9.993145138025284,0.4485379429056187,374.23211669921875,470.9493455886841
12,2.9999999242136255e-05,197.04229736328125,2.678633213043213,1.8233071565628052,0.17020073533058167,0.7560150623321533,0.3522956967353821,0.06518694758415222,5.5044331550598145,0.13220705091953278,3.8456766605377197,0.055670179426670074,9.537987045943737,0.4485379429056187,413.6909484863281,510.05451917648315
