var,unit,MAE,RMSE,bias,median_abs_err,R2,corr,NRMSE_pct,accuracy_10pct,accuracy_20pct,rel_mae_pct
u,m/s,0.6157827377319336,1.286981225013733,0.03176213428378105,0.19121941924095154,0.8953927755355835,0.9463395106017405,3.5241152405208314,89.93131468570839,96.33631407579782,3.622251398423139
v,m/s,1.0575357675552368,1.7670581340789795,-0.023892121389508247,0.4968748092651367,0.9447486400604248,0.9725575834057231,4.141266906291194,81.41930883056683,91.42606476312012,6.220798632677863
w,m/s,0.46969547867774963,0.9727795720100403,-0.000813420454505831,0.16871783137321472,0.8119719624519348,0.9015202340412313,2.904493333665156,93.06531673125463,97.92442738779992,2.762914580457351
|V|,m/s,1.1007640361785889,1.833978295326233,-0.19326817989349365,0.5169839859008789,0.891572892665863,0.9513375818969729,6.37804956878825,80.32756889643719,91.08076154373059,6.475082565756405
P,Pa,5.053958415985107,9.176295280456543,0.7474650740623474,2.4635701179504395,0.986244797706604,0.9931446314605024,1.6902944366619184,94.02475298621601,98.73607761815845,2.855142103515349
